Rank,Name,Age,YTD,Singles,Doubles,Career
404,Igor Marcondes,28,27025.0,21257.0,5768.0,86557.0
405,Daniel Milavsky,24,38897.0,27963.0,10934.0,44104.0
406,Robert Strombachs,26,32944.0,28819.0,4125.0,146474.0
407,Raphael Perot,24,22601.0,21932.0,669.0,26821.0
408,Lucas Poullain,30,35502.0,34429.0,1073.0,142539.0
409,Maks Kasnikowski,22,61855.0,61758.0,97.0,291235.0
410,Zhizhen Zhang,29,427064.0,378404.0,48660.0,3890787.0
411,Mariano Kestelboim,29,55055.0,30344.0,24711.0,209972.0
412,Inaki Montes-De La Torre,23,43129.0,31030.0,12099.0,93694.0
413,Mert Alkaya,25,26616.0,23086.0,3530.0,45304.0
414,Alex Hernandez,26,56812.0,50071.0,6741.0,151645.0
415,Oriol Roca Batalla,32,76523.0,55966.0,20557.0,643348.0
416,Luca Castelnuovo,28,35592.0,27504.0,8088.0,123740.0
417,Alex Martinez,24,35637.0,29699.0,5938.0,69299.0
418,Arthur Weber,33,21599.0,19574.0,2025.0,97013.0
419,Stuart Parker,28,29699.0,26926.0,2773.0,178564.0
420,Florian Broska,27,26362.0,25630.0,732.0,57519.0
421,Marek Gengel,30,55534.0,51010.0,4524.0,266484.0
422,Kasidit Samrej,24,118356.0,115705.0,2651.0,177295.0
423,Max Basing,23,20966.0,19019.0,1947.0,37116.0
424,Ricardas Berankis,35,29838.0,29146.0,692.0,4873862.0
425,Michele Ribecai,22,28930.0,26514.0,2416.0,41162.0
426,Dan  Martin,26,,,,
427,Lorenzo Carboni,19,43488.0,34389.0,9099.0,68416.0
428,Antoine Escoffier,33,117269.0,112144.0,5125.0,708879.0
429,Hikaru Shiraishi,25,27822.0,24810.0,3012.0,61968.0
430,Keegan Smith,27,26166.0,22734.0,3432.0,139930.0
431,Neil Oberleitner,26,89644.0,37067.0,52577.0,205674.0
432,Vadym Ursu,28,32208.0,27660.0,4548.0,136550.0
433,Etienne Donnet,24,27100.0,23229.0,3871.0,40356.0
434,Radu Albot,36,98161.0,95780.0,2381.0,5481145.0
435,Erik Arutiunian,21,24990.0,21337.0,3653.0,58461.0
436,Roberto Cid Subervi,32,26585.0,25860.0,725.0,311084.0
