,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
266,"Golubev, Andrey","$2,557,648","$210,688","$176,102","$34,586"
267,"Meligeni, Fernando","$2,555,367",$0,$0,$0
268,"Adams, David","$2,534,247",$0,$0,$0
269,"Gicquel, Marc","$2,513,052",$252,$0,$252
270,"Squillari, Franco","$2,504,591",$0,$0,$0
271,"Moodie, Wesley","$2,455,112",$0,$0,$0
272,"Russell, Michael","$2,452,569","$54,381","$36,239","$18,142"
273,"Dosedel, Slava","$2,452,512",$0,$0,$0
274,"Furlan, Renzo","$2,449,043",$0,$0,$0
275,"Raoux, Guillaume","$2,446,506",$0,$0,$0
276,"Steven, Brett","$2,439,714",$0,$0,$0
277,"Svensson, Jonas","$2,439,702",$0,$0,$0
278,"Sousa, Joao","$2,435,816","$919,928","$848,973","$70,955"
279,"Cermak, Frantisek","$2,415,211","$80,137",$0,"$80,137"
280,"Mansdorf, Amos","$2,412,691",$0,$0,$0
281,"Sa, Andre","$2,406,110","$132,422",$384,"$132,038"
282,"Ramos-Vinolas, Albert","$2,404,247","$536,502","$492,582","$43,920"
283,"Kriek, Johan","$2,383,794",$0,$0,$0
284,"Qureshi, Aisam-Ul-Haq","$2,379,238","$178,738",$999,"$177,739"
285,"Ferreira, Ellis","$2,375,220",$0,$0,$0
286,"Lee, Hyung-Taik","$2,355,686","$2,173",$520,"$1,653"
287,"Vizner, Pavel","$2,337,009",$0,$0,$0
288,"Steeb, Carl-Uwe","$2,320,082",$0,$0,$0
289,"Zeballos, Horacio","$2,298,867","$166,097","$120,811","$45,286"
290,"Johnson, Donald","$2,294,044",$0,$0,$0
291,"Davis, Scott","$2,286,711",$0,$0,$0
292,"Erlich, Jonathan","$2,272,603","$128,297",$0,"$128,297"
293,"Pozzi, Gianluca","$2,272,035",$0,$0,$0
294,"Cherkasov, Andrei","$2,260,227",$0,$0,$0
295,"Ramirez Hidalgo, Ruben","$2,243,946","$31,611","$29,721","$1,890"
296,"Yzaga, Jaime","$2,235,560",$0,$0,$0
297,"Ramirez, Raul","$2,217,971",$0,$0,$0
298,"Golmard, Jerome","$2,215,784",$0,$0,$0
299,"Lacko, Lukas","$2,211,758","$287,485","$280,485","$7,000"
300,"Phau, Bjorn","$2,189,473",$0,$0,$0
301,"Darcis, Steve","$2,186,656","$288,769","$272,363","$16,406"
302,"Marach, Oliver","$2,166,853","$122,046",$370,"$121,676"
303,"Hernych, Jan","$2,155,326","$74,002","$72,785","$1,217"
304,"Aspelin, Simon","$2,121,037",$0,$0,$0
305,"Zverev, Mischa","$2,120,056","$113,674","$99,071","$14,603"
306,"Beck, Karol","$2,109,570",$320,$0,$320
307,"Casal, Sergio","$2,107,745",$0,$0,$0
308,"Johnson, Steve","$2,094,753","$1,062,535","$928,658","$133,877"
Page 7 of 483,Statistics/ Prize Money/ Career,,,Report as of,"Nov 15, 2015"
,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
309,"Alami, Karim","$2,087,596",$0,$0,$0
310,"Lorenzi, Paolo","$2,084,108","$383,936","$351,992","$31,944"
311,"Nastase, Ilie","$2,076,761",$0,$0,$0
312,"Nystrom, Joakim","$2,074,947",$0,$0,$0
313,"Flach, Ken","$2,065,246",$0,$0,$0
314,"Bogomolov Jr., Alex","$2,054,594",$0,$0,$0
315,"Karbacher, Bernd","$2,043,057",$0,$0,$0
316,"Tillstrom, Mikael","$2,030,525",$0,$0,$0
317,"Pate, David","$2,028,823",$0,$0,$0
318,"Norman, Dick","$2,019,581",$0,$0,$0
319,"Dibbs, Eddie","$2,016,426",$0,$0,$0
320,"Filippini, Marcelo","$2,016,190",$0,$0,$0
321,"Agenor, Ronald","$2,014,601",$0,$0,$0
322,"Thiem, Dominic","$2,009,504","$1,123,704","$1,052,936","$70,768"
323,"Clerc, Jose-Luis","$1,987,036",$0,$0,$0
324,"Fleming, Peter","$1,986,799",$0,$0,$0
325,"Vliegen, Kristof","$1,964,020",$0,$0,$0
326,"Matosevic, Marinko","$1,961,993","$237,837","$224,774","$13,063"
327,"Cash, Pat","$1,950,345",$0,$0,$0
328,"Hernandez, Oscar","$1,943,820",$100,$0,$100
329,"Kamke, Tobias","$1,936,820","$118,703","$110,665","$8,038"
330,"Sijsling, Igor","$1,924,960","$206,954","$193,329","$13,625"
331,"Van Rensburg, Christo","$1,912,831",$0,$0,$0
332,"Harrison, Ryan","$1,901,850","$235,582","$208,422","$27,160"
333,"Woodruff, Chris","$1,900,659",$0,$0,$0
334,"Seguso, Robert","$1,888,353",$0,$0,$0
335,"Burgsmuller, Lars","$1,887,164",$0,$0,$0
336,"Marrero, David","$1,878,521","$284,709","$1,104","$283,605"
337,"Jaite, Martin","$1,873,881",$0,$0,$0
338,"Arrese, Jordi","$1,847,136",$0,$0,$0
339,"Voinea, Adrian","$1,836,277",$0,$0,$0
340,"Ondruska, Marcos","$1,835,129",$0,$0,$0
341,"Blanco, Galo","$1,832,691",$0,$0,$0
342,"Norval, Piet","$1,832,303",$0,$0,$0
343,"Arias, Jimmy","$1,831,140",$0,$0,$0
344,"Nargiso, Diego","$1,807,857",$0,$0,$0
345,"Solomon, Harold","$1,802,769",$0,$0,$0
346,"Kohlmann, Michael","$1,798,467",$0,$0,$0
347,"Kyrgios, Nick","$1,786,525","$1,022,947","$961,017","$61,930"
348,"Puerta, Mariano","$1,781,372",$0,$0,$0
349,"Pugh, Jim","$1,780,466",$0,$0,$0
350,"Smith, Stan","$1,774,811",$0,$0,$0
351,"Brands, Daniel","$1,758,178","$49,021","$47,049","$1,972"
352,"Brown, Dustin","$1,749,456","$404,122","$347,312","$56,810"
Page 8 of 483,Statistics/ Prize Money/ Career,,,Report as of,"Nov 15, 2015"
,ATP Prize Money Leaders (US$),,,,
"Rankings Date: Nov 16, 2015",,,,,
Money,,,,,
Rank,Player,Career,YTD,Singles,Doubles
353,"Bracciali, Daniele","$1,749,020","$6,077",$0,"$6,077"
354,"Murray, Jamie","$1,745,619","$587,334",$0,"$587,334"
355,"Arnold Ker, Lucas","$1,745,436",$900,$0,$900
356,"Macpherson, David","$1,729,899",$0,$0,$0
357,"Sluiter, Raemon","$1,726,539",$0,$0,$0
358,"Chiudinelli, Marco","$1,707,533","$75,163","$67,026","$8,137"
359,"Dancevic, Frank","$1,707,329","$68,659","$63,254","$5,405"
360,"Tanner, Roscoe","$1,696,198",$0,$0,$0
361,"Holm, Henrik","$1,693,931",$0,$0,$0
362,"Frana, Javier","$1,691,848",$0,$0,$0
363,"Ebden, Matthew","$1,689,608","$210,626","$181,296","$29,330"
364,"Perez-Roldan, Guillermo","$1,686,459",$0,$0,$0
365,"Pescosolido, Stefano","$1,657,671",$0,$0,$0
366,"Delbonis, Federico","$1,655,357","$397,575","$360,187","$37,388"
367,"Teltscher, Eliot","$1,653,997",$0,$0,$0
368,"Skoff, Horst","$1,651,858",$0,$0,$0
369,"Schwank, Eduardo","$1,648,048",$312,$276,$36
370,"Annacone, Paul","$1,646,602",$0,$0,$0
371,"Kuhnen, Patrik","$1,646,328",$0,$0,$0
372,"Butorac, Eric","$1,628,485","$146,161",$400,"$145,761"
373,"Haider-Maurer, Andreas","$1,622,559","$591,206","$556,485","$34,721"
374,"Rostagno, Derrick","$1,621,535",$0,$0,$0
375,"Goldstein, Paul","$1,620,456",$0,$0,$0
376,"Camporese, Omar","$1,610,475",$0,$0,$0
377,"Gonzalez, Maximo","$1,608,943","$202,546","$141,734","$60,812"
378,"Rosewall, Ken","$1,602,700",$0,$0,$0
379,"Stewart, Sherwood","$1,602,565",$0,$0,$0
380,"Vanek, Jiri","$1,600,539",$0,$0,$0
381,"Draper, Scott","$1,594,598",$0,$0,$0
382,"Dupuis, Antony","$1,591,333",$0,$0,$0
383,"Cipolla, Flavio","$1,587,316","$31,885","$16,621","$15,264"
384,"Ashe, Arthur","$1,584,909",$0,$0,$0
385,"Levy, Harel","$1,579,872",$180,$0,$180
386,"Reynolds, Bobby","$1,573,292",$0,$0,$0
387,"Laver, Rod","$1,565,413",$0,$0,$0
388,"Verkerk, Martin","$1,564,520",$0,$0,$0
389,"Etlis, Gaston","$1,559,459",$0,$0,$0
390,"Gunthardt, Heinz","$1,550,007",$0,$0,$0
391,"Johansson, Joachim","$1,549,039",$0,$0,$0
392,"Kim, Kevin","$1,545,970","$1,052",$520,$532
