"ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                 Career          YTD           Singles     Doubles"
"340      Klaasen, Raven                                 $2,071,139     $444,268              $0      $444,268"
"341      Flach, Ken                                     $2,065,246            $0             $0            $0"
"342      Bogomolov Jr., Alex                            $2,054,594            $0             $0            $0"
"343      Karbacher, Bernd                               $2,043,057            $0             $0            $0"
"344      Brands, Daniel                                 $2,037,887       $97,964        $97,964            $0"
"345      Tillstrom, Mikael                              $2,030,525            $0             $0            $0"
"346      Matosevic, Marinko                             $2,029,540       $25,438        $24,958          $480"
"347      Pate, David                                    $2,028,823            $0             $0            $0"
"348      Chiudinelli, Marco                             $2,023,620     $107,358         $92,614       $14,744"
"349      Norman, Dick                                   $2,019,581            $0             $0            $0"
"350      Dibbs, Eddie                                   $2,016,426            $0             $0            $0"
"351      Filippini, Marcelo                             $2,016,190            $0             $0            $0"
"352      Agenor, Ronald                                 $2,014,601            $0             $0            $0"
""
"Page 8 of 531                     Statistics/ Prize Money/ Career         Report as of Dec 5, 2017"
"                           ATP Prize Money Leaders (US$)"
"Rankings Date: Dec 11, 2017"
"Money"
"Rank Player                                                  Career         YTD           Singles     Doubles"
"353      Clerc, Jose-Luis                                $1,987,036            $0              $0            $0"
"354      Fleming, Peter                                  $1,986,799            $0              $0            $0"
"355      Ebden, Matthew                                  $1,970,540      $215,049        $193,408       $21,641"
"356      Vliegen, Kristof                                $1,964,020            $0              $0            $0"
"357      Estrella Burgos, Victor                         $1,958,311      $369,615        $354,188       $15,427"
"358      Cash, Pat                                       $1,950,345            $0              $0            $0"
"359      Marchenko, Illya                                $1,944,899      $175,920        $172,487        $3,433"
"360      Hernandez, Oscar                                $1,943,856            $0              $0            $0"
"361      Donskoy, Evgeny                                 $1,935,575      $449,050        $435,654       $13,396"
"362      Van Rensburg, Christo                           $1,912,831            $0              $0            $0"
"363      Groth, Sam                                      $1,906,262      $202,684        $108,347       $94,337"
"364      Woodruff, Chris                                 $1,900,659            $0              $0            $0"
"365      Pella, Guido                                    $1,892,801      $479,913        $460,121       $19,792"
"366      Seguso, Robert                                  $1,888,353            $0              $0            $0"
