Rank,Player,YTD,Singles,Doubles,Career
461,"Ribeiro, Eduardo",46916,38202,8714,82233
462,"Fonio, Giovanni",46859,41347,5512,134195
463,"Mena, Facundo",46590,44295,2295,487538
464,"van Rijthoven, Tim",46428,46428,0,736961
465,"Sasikumar, Mukund",46353,42841,3512,206438
466,"Forti, Francesco",45888,34327,11561,150415
467,"Sanchez Izquierdo, Nikolas",45797,41459,4338,156194
468,"Chandrasekar, Anirudh",45621,865,44756,80436
469,"Niklas-Salminen, Patrik",45616,0,45616,128526
470,"Pacheco Mendez, Rodrigo",45302,40216,5086,61890
471,"Johnson, Luke",45287,961,44326,133822
472,"Zheng, Michael",45243,44721,522,49211
473,"Prashanth, Vijay Sundar",45040,355,44685,177352
474,"Moriya, Hiroki",45035,39475,5560,1027331
475,"Hach Verdugo, Hans",44820,290,44530,295867
476,"Ferrari, Gianmarco",44758,30027,14731,89298
477,"Kuzuhara, Bruno",44676,43591,1085,104659
478,"Berrettini, Jacopo",44637,35948,8689,127690
479,"Kirkov, Vasil",44476,197,44279,100178
480,"Kadhe, Arjun",44467,5642,38825,181123
481,"Echargui, Moez",44382,39381,5001,145560
482T,"Sabanov, Ivan",44362,0,44362,237270
482T,"Sabanov, Matej",44362,0,44362,292578
484,"Kingsley, Cannon",44206,39503,4703,71177
485,"O'Mara, Jonny",43525,0,43525,589648
486,"Topo, Marko",43520,37343,6177,88538
487,"Masur, Daniel",42947,30920,12027,670404
488,"Casanova, Hernan",42807,34954,7853,261710
489,"Weber, Arthur",42558,38902,3656,55982
490,"Kumar, Omni",42501,41949,552,83812
491,"Romboli, Fernando",42466,1652,40814,374176
492,"Poullain, Lucas",41245,40090,1155,81782
493,"Harrison, Christian",41235,18943,22292,665843
494,"Wong, Chak Lam Coleman",41033,38611,2422,54958
495,"Te, Rigele",40914,35693,5221,135971
496,"Kirkin, Ergi",40832,33658,7174,141492
497,"Gengel, Marek",40762,32866,7896,173519
498,"Li, Zhe",40727,23980,16747,789674
499,"Furness, Evan",40456,38550,1906,268018
500,"Tomic, Bernard",40263,38646,1617,6341805
501,"Oberleitner, Neil",39977,21908,18069,82293
502,"Moeller, Marvin",39866,35290,4576,107601
503,"Jianu, Filip Cristian",39694,36511,3183,134220
504,"Vrbensky, Michael",39584,31902,7682,158178
505,"Weis, Alexander",39522,33678,5844,121739
506,"Friberg, Karl",39325,35675,3650,100352
507,"Villanueva, Gonzalo",39137,30001,9136,176463
508,"Wehnelt, Kai",38762,17179,21583,109781
509,"Haliak, Mikalai",38746,33191,5555,78714
510,"Martos Gornes, Sergio",38744,0,38744,165981
511,"Lazarov, Alexandar",38724,37078,1646,190391
512,"Bortolotti, Marco",38688,0,38688,223251
513,"Stodder, Timo",38662,33586,5076,95238
514,"Dalla Valle, Enrico",38640,36244,2396,110294
515,"Boscardin Dias, Pedro",38592,23683,14909,76331
516,"Bertola, Remy",38358,32846,5512,94364
517,"Royer, Valentin",38272,37008,1264,85949
518,"Jorda Sanchis, David",38123,32434,5689,86806
519,"Ejupovic, Elmar",37933,35242,2691,141019
520,"Houkes, Max",37901,34099,3802,78627
521,"Wendelken, Harry",37555,33626,3929,63011
522,"Pervolarakis, Michail",37379,26255,11124,215055
523,"Faria, Jaime",37344,25350,11994,57337
524,"Liutarevich, Ivan",37161,2777,34384,91443
525,"Gea, Arthur",36980,35144,1836,39486
526,"Ivanovski, Kalin",36960,34371,2589,53689
527,"Rola, Blaz",36957,16632,20325,1138429
528,"Ellis, Blake",36887,25037,11850,146420
529,"Nishikori, Kei",36620,36620,0,25102112
530,"Santillan, Akira",36537,25591,10946,489942
